TF	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
Bhlha15	0.0	0.0	0.0	0.0	0.01606524	0.0	0.0	0.92190629	0.0	0.05474563
Bptf	0.0	0.0	0.01333564	0.0	0.6470079	0.0	0.0	0.0	0.33380344	0.0
Ccnt2	0.0	0.0	0.13819612	0.00521766	0.0	0.19070142	0.0	0.0	0.37601954	0.28499096
Cebpa	0.0	0.0	0.00572394	0.0	0.32050806	0.0	0.0	0.40718926	0.25470806	0.0084629
Cebpb	0.0	0.0	0.0	0.0	0.66072292	0.00827481	0.0	0.01478499	0.31012489	0.0
Cebpd	0.0	0.0	0.05928006	0.0	0.38442603	0.07010709	0.0	0.43832421	0.03707865	0.00740165
Cebpe	0.0	0.01766851	0.0	0.0477773	0.15728502	0.07209158	0.02166978	0.07854732	0.58155607	0.0
Cebpg	0.18363281	0.0	0.00283671	0.0270238	0.19887098	0.07200452	0.0	0.17102305	0.20880921	0.13367926
Clock	0.13019163	0.11301936	0.08862552	0.13971313	0.09948251	0.05598476	0.09004572	0.13908241	0.00754831	0.13515666
Creb3	0.27534111	0.0	0.04003027	0.0	0.11432648	0.0	0.0	0.0	0.47956967	0.05650813
Creb3l1	0.0	0.35528602	0.0	0.328408	0.0	0.0	0.29495345	0.00569174	0.0	0.01221438
Creb3l2	0.00095986	0.26211754	0.0	0.24043607	0.25608069	0.0	0.22075504	0.00375366	0.0	0.01341463
Creb3l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Creb3l4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Creb5	0.0	0.0	0.0	0.0	0.0	0.98658605	0.0	0.0	0.0	0.0
Cux1	0.15379524	0.12940015	0.04599928	0.03287781	0.10027938	0.02732364	0.03804385	0.18583214	0.15133563	0.13377907
Cux2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9907622
Dbp	0.0	0.0	0.0	0.0	0.0	0.97075296	0.0	0.0	0.0	0.0
Dlx3	0.01104415	0.67995378	0.0	0.0	0.0	0.0	0.0	0.0	0.30314097	0.0
Dlx4	0.0	0.5922193	0.0	0.04856742	0.0	0.0	0.0	0.35427426	0.0	0.0
Dlx5	0.01228315	0.0	0.07998422	0.87276353	9e-08	0.0	0.0	0.0	0.0	0.0193378
Dmrta2	0.0	0.0	0.0	0.22799394	0.0	0.02714132	0.31604587	0.41526531	0.0	0.00956834
E2f1	0.0	0.24405812	0.01318199	0.0	0.24260242	0.0	0.2173502	0.0	0.28072371	0.0
E2f2	0.26151409	0.0	0.0	0.0	0.24267534	0.0	0.0	0.26991205	0.22384756	0.0
E2f3	0.19924728	0.0	0.0208788	0.13763652	0.17409645	0.11611687	0.14745948	0.00052369	0.20252492	0.0
Egr1	0.14733027	0.12105141	0.10878336	0.11340596	0.12112002	0.01819361	0.10064089	0.0	0.15272851	0.11556775
Egr2	0.0	0.0	0.0	0.00382524	0.35735803	0.0	0.0	0.0	0.50730709	0.12708578
Egr3	0.0	0.0	0.13538275	0.0222911	0.11851459	0.04103819	0.15871198	0.0	0.23651344	0.28572764
Egr4	0.0	0.29677084	0.00167457	0.0	0.33076858	0.0	0.0	0.0	0.01619054	0.35188027
Ehf	0.03078974	0.0	0.0	0.00163074	0.0	0.0	0.0	0.0	0.94550743	0.0
Elf1	0.14530853	0.10913316	0.02170736	0.0	0.13123348	0.0748119	0.0398522	0.09733757	0.14461693	0.23479052
Elf2	0.10858357	0.09426797	0.12374428	0.0	0.11405075	0.15737664	0.09945225	0.12186998	0.05973009	0.11986867
Elf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elf4	0.00518538	0.18463219	0.01667434	0.0	0.18424767	0.03643829	0.09268855	0.04593044	0.32310415	0.10946348
Elf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elk1	0.0	0.11193063	0.09686831	0.09502509	0.14986082	0.04717437	0.12526238	0.06189114	0.15185147	0.15875718
Elk3	0.0	0.0	0.33058252	0.0	0.06986892	0.36261778	0.0	0.0	0.22364538	0.01119436
Elk4	0.12228918	0.09255366	0.19694491	0.03839272	0.05009708	0.16347649	0.11336812	0.05376189	0.08775205	0.08008959
En1	0.0	0.0	0.0	0.0	0.99117505	0.0	0.0	0.0	0.0	0.0
En2	0.0	0.0	0.0	0.0	0.0	0.37411026	0.61996106	0.0	0.0	0.0
Eomes	0.0	0.0	0.0	0.0	0.0	0.01165361	0.0	0.0	0.01923098	0.95229493
Epas1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erf	0.12669467	0.10980686	0.05104181	0.02197084	0.10582286	0.16279341	0.08838774	0.05175567	0.13913299	0.14155374
Erg	0.0	0.0	0.51330535	0.0	0.0	0.48420683	0.0	0.0	0.0	0.0
Esrra	0.4834607	0.3792784	0.00475336	0.0	0.0	0.0	0.0	0.0	0.0	0.1288122
Esrrg	0.47657775	0.02250669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49706791
Esx1	0.0	0.0	0.0	0.25785798	0.33942744	0.0	0.0	0.38736437	0.01245048	0.0
Ets1	0.0	0.0	0.32075513	0.0	0.0	0.46097605	0.0	0.0	0.03150695	0.18418205
Ets2	0.05674332	0.11937076	0.24549724	0.02152899	0.0	0.27269641	4.1e-07	0.09601317	0.18654743	0.0
Etv1	0.19808031	0.0	0.28124652	0.21108041	0.0	0.01850325	0.14103582	0.0	0.1486041	0.0
Etv3	0.1337985	0.05888735	0.03260109	0.0	0.09002391	0.09874352	0.07526107	0.15528764	0.25377456	0.09998946
Etv4	0.31612512	0.0	0.13035336	0.00245591	0.0	0.0	0.23679363	0.29070655	0.02131851	0.0
Etv5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87099725	0.12190515	0.0
Ewsr1	0.0	0.01999111	0.76435949	0.05314956	0.0	0.01394281	0.0	0.0	0.0	0.0
Fli1	0.0	0.0	0.28137704	0.0	0.0	0.2874338	0.0	0.0	0.31646288	0.11312276
Foxa1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52747766	0.0	0.46867652
Foxa2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52908739	0.0	0.46700337
Foxa3	0.0	0.0	0.0	0.39958894	0.0	0.0	0.0	0.59583042	0.0	0.0
Foxc1	0.0	0.26111284	0.40016007	0.0	0.0	0.04631121	0.0	0.0	0.0	0.29016239
Foxc2	0.0	0.39616415	0.52949342	0.0	0.0	0.06473571	0.0	0.0	0.0	0.00626812
Foxd1	0.0	0.0	0.0	0.94939169	0.0	0.0	0.0	0.02396867	0.0	0.0
Foxd2	0.0	0.15379427	0.24219629	0.00997047	0.0	0.14886596	0.0	0.0	0.22415931	0.21616772
Foxd3	0.0	0.5848131	0.0	0.0	0.0	0.41022743	0.0	0.0	0.0	0.0
Foxg1	0.0	0.25672913	0.12611493	0.09592097	0.25212188	0.07479947	0.0	0.19213673	0.0	0.0
Foxj1	0.4403374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55454669
Foxj2	0.18605557	0.15374498	0.09695171	0.02789195	0.15532598	0.01464773	0.1294569	0.11251735	0.07288406	0.0492139
Foxj3	0.14789689	0.12496748	0.11664015	0.04220666	0.13430664	0.02937984	0.11121916	0.11693194	0.00911738	0.16618602
Foxk1	0.0	0.90401347	0.0	0.06980896	0.0	0.0	0.0	5.241e-05	0.0	0.0
Foxk2	0.0	0.67360096	0.0	0.31164244	0.0	0.0	0.0	0.00654651	0.0	0.0
Foxl1	0.0	0.23866536	0.09122494	0.64961901	0.0	0.0	0.0	0.01359979	0.0	0.0
Foxo1	0.0132059	0.13317803	0.0	0.09057215	0.0	0.20451014	0.16664989	0.0432191	0.02802142	0.31883223
Foxo3	0.16268921	0.14913622	0.02493396	0.14216605	0.06261059	0.02340027	0.12170725	0.20120091	0.05862613	0.05226363
Foxo4	0.13959065	0.13157418	0.028763	0.09166733	0.07975417	0.06488616	0.11025839	0.15911357	0.04050217	0.15275055
Foxo6	0.2548238	0.19456625	0.0	0.0	0.0	0.0	0.0	0.28271245	0.0	0.2656452
Foxp1	0.0	0.0	0.0	0.0	0.41974548	0.02371579	0.0	0.05747245	0.39128382	0.0
Foxp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxp4	0.0	0.0	0.0	0.0	0.94774209	0.0	0.0	0.0	0.0	0.0
Foxs1	0.0	0.56306401	0.27245128	0.15570444	0.0	0.00334418	0.0	0.00089784	0.0	0.0
Gabpa	0.11944393	0.1395025	0.1532177	0.0785413	0.0	0.08330829	0.11543308	0.05872672	0.12356431	0.12703347
Gata1	0.0	0.0	0.0	0.0	0.04053444	0.00852209	0.76555701	0.0249379	0.15285573	0.0
Gata2	0.0	0.0	0.0	0.00012685	0.0	0.98870624	0.0	0.0	0.0	0.0
Gata3	0.0	0.0	0.0	0.0	0.0	0.94318285	0.0	0.0	0.0	0.0
Gata4	0.00672407	0.00360707	0.0	0.00098941	0.0	0.0	0.95771598	0.0	0.0	0.02163753
Gata5	0.0	0.00324688	0.0	0.00282282	0.0	0.0	0.96188505	0.0	0.0	0.02296014
Gata6	0.0	0.0	0.0	5.68e-06	0.0	0.0	0.44352735	0.0	0.0	0.55174776
Gbx1	0.99203426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gbx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gcm2	0.0	0.0	0.0	0.0	0.98039823	0.0	0.0	0.0	0.0	0.00936365
Gli1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gli2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gli3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glis2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gmeb1	0.0	0.0	0.19825993	0.07694553	0.0	0.0	0.0	0.0	0.28173614	0.43923073
Grhl1	0.0	0.27637389	0.00884378	0.0	0.24948882	0.0	0.0	0.40690519	0.04290055	0.01266682
Grhl2	0.0	0.0	0.01139708	0.0	0.0	0.0	0.0	0.96086313	0.0	0.02069317
Gsx2	0.0	0.0	0.0	0.40542179	0.0	0.0	0.0	0.59006013	0.0	0.0
Gtf2i	0.0	0.0	0.03581547	0.0	0.0	0.0	0.0	0.0	0.93498111	0.0
Hdac2	0.0	0.43471985	0.0	0.0	0.56063279	0.0	0.0	0.0	0.0	0.0
Hes7	0.0	0.26201939	0.12840181	0.00055461	0.23562697	0.0	0.0	0.14657223	0.19816126	0.02569896
Hesx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hif1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hlf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hlx	0.0	0.0	0.03091255	0.0	0.0	0.0	0.0	0.0	0.95335871	0.0
Hnf1b	0.46391289	0.0	0.00051366	0.0	0.0	0.0	0.0	0.05393956	0.0	0.47739933
Homez	0.0	0.0	0.0	0.0377237	0.41308597	0.0	0.0	0.0	0.0	0.54355775
Hoxa1	0.00023165	0.22518771	0.1311874	0.28810513	0.0	0.09081967	0.18965078	0.07296418	0.0	0.0
Hoxa13	0.0	0.0	0.0	0.14965667	0.32259025	0.23136969	0.29349539	0.0	0.0	0.0
Hoxa2	0.0	0.17604005	0.2457818	0.19962276	0.0	0.20055431	0.14276782	0.0	0.03378368	0.0
Hoxa3	0.0016385	0.19157053	0.08356197	0.24930283	0.0	0.30484166	0.15824887	0.0	0.0	0.00919617
Hoxa4	0.00129282	0.17436641	0.14004478	0.24442291	0.0	0.26697779	0.162706	0.0	0.0	0.00854595
Hoxa5	0.0	0.23873446	0.0	0.24152638	0.0	0.29454899	0.21167577	0.0	0.0	0.01134471
Hoxa6	0.0	0.23040119	0.31799058	0.17727614	0.22430882	0.04548094	0.0	0.00250422	0.0	0.0
Hoxa7	0.0	0.0	0.39452659	0.25976564	0.0	0.09669693	0.16803589	0.0	0.06464695	0.01463275
Hoxa9	0.0	0.00101441	0.23597345	0.01073616	0.0	0.26797899	0.40703807	0.07310988	0.0	0.0
Hoxb2	0.10459777	0.20927117	0.15362158	0.27962505	0.0	0.07102551	0.18005695	0.0	0.0	0.0
Hoxb3	0.0	0.2297613	0.20270578	0.28946528	0.0	0.07981731	0.18744669	0.0	0.0	0.00887232
Hoxb4	0.00332912	0.18050673	0.19716751	0.2319075	0.0	0.22694291	0.14967986	0.0	0.0	0.00889555
Hoxb5	0.00398697	0.00528164	0.0	0.3801174	0.0	0.35725767	0.25075652	0.0	0.0	0.0
Hoxb6	0.00164969	0.23567242	0.16262788	0.3527586	0.0	0.00149332	0.23456761	0.0	0.0	0.00889266
Hoxb7	0.0	0.24869874	0.16174389	0.35271123	0.0	0.0	0.23459909	0.0	0.0	0.0
Hoxb8	0.02789124	0.12020889	0.17575321	0.37885129	0.0094672	0.0	0.24908259	0.0	0.03636097	0.0
Hoxc13	0.0	0.0	0.3395587	0.0	0.0	0.0	0.27818466	0.33270388	0.04686313	0.0
Hoxc4	0.00322958	0.50258119	0.0	0.0	0.0	0.0	0.47690794	0.0	0.0	0.01293987
Hoxc5	0.0	0.99155266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hoxc6	0.0	0.00222605	0.02319388	0.40020917	0.0	0.0	0.44294315	0.12712169	0.0	0.0
Hoxc8	0.02302636	0.0	0.01936859	0.49867493	0.0	0.0	0.0	0.15911136	0.29430554	0.0
Hoxc9	0.0	0.0	0.0	0.46181793	0.0	0.0	0.5181326	0.01471015	0.0	0.0
Hoxd10	0.0	0.0	0.51889904	0.0	0.0	0.0	0.0	0.0	0.0	0.47689914
Hoxd11	0.03985708	0.0	0.02120196	0.0	0.02769806	0.0	0.0	0.74320602	0.16334838	0.0
Hoxd4	0.0	0.0	0.99236915	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hoxd8	0.0	0.16929898	0.55027317	0.13301052	0.0	0.0	0.0	0.12485411	0.0	0.01774206
Hoxd9	0.0046064	0.0	0.79489711	0.0	0.0	0.0	0.0	0.17097469	0.0	0.02269795
Irf1	0.23201245	0.20240715	0.0	0.0	0.0	0.26931566	0.10471553	0.0539853	0.13579138	0.0
Irf3	0.0	0.00644771	0.401111	0.0	0.01360027	0.48279656	0.0	0.0	0.0	0.03331111
Irf4	0.0	0.0	0.0	0.00135887	0.0	0.0	0.22061493	0.00659092	0.64858496	0.11473064
Irf5	0.0	0.55878788	0.0	0.0	0.0	0.0	0.0	0.00675823	0.42853426	0.0
Irf6	0.0	0.15178326	0.41168626	0.0	0.0	0.00174802	0.0	0.43069432	0.0	0.0
Irf7	0.00387966	0.2873634	0.0	0.0	0.0	0.0	0.08123133	0.0	0.47172614	0.14332293
Irf8	0.0	0.0	0.0	0.00705116	0.0395144	0.01006373	0.19156839	0.01186171	0.73112534	0.0
Isx	0.0	0.99175776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jdp2	0.0	0.0	0.98831144	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klf1	0.0	0.0	0.09056295	0.27346989	0.21928234	0.40219729	0.0	0.00979427	0.0	0.0
Klf10	0.26884103	0.0	0.04899831	0.0	0.13098284	0.0	0.0	0.0	0.4482812	0.0
Klf11	0.18864046	0.0	0.03371325	0.0	0.09016758	0.0	0.0	0.0	0.31114584	0.0
Klf12	0.0	0.0	0.06506991	0.18598058	0.0	0.7396453	0.0	0.00419553	0.0	0.0
Klf13	0.2741553	0.0	0.05102583	0.0	0.1360031	0.0	0.0	0.0	0.4441936	0.0
Klf2	0.0	0.0	0.08051598	0.0	0.05523015	0.56872316	0.0	0.00368339	0.28886781	0.0
Klf3	0.0	0.0	0.0	0.0	0.27577028	0.38104866	0.0	0.01210482	0.327958	0.0
Klf4	0.0	0.0	0.0	0.0	0.31383693	0.4899839	0.0	0.0	0.19350115	0.0
Klf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klf6	0.02003513	0.0	0.0281993	0.03309253	0.37682886	0.01846571	0.0	0.00955185	0.51084616	0.0
Klf7	0.0	0.0	0.07868777	0.0	0.28024322	0.6153431	0.0	0.0	0.02259644	0.0
Klf8	0.04388563	0.0	0.0350666	0.0	0.50375642	0.13249481	0.0	0.0	0.28099056	0.0
Klf9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lbx2	0.0	0.0	0.06711894	0.0	0.27275206	0.46320017	0.0	0.0	0.19433087	0.0
Lhx1	0.0	0.00374923	0.0	0.4110344	0.0	0.0	0.45297733	0.01459459	0.11294482	0.0
Lhx2	0.0	0.0	0.0	0.0	0.52706829	0.0	0.45450353	0.0	0.0	0.01361603
Lhx4	0.0	0.0	0.0	0.28918105	0.37424505	0.0	0.32339814	0.00977525	0.0	0.0
Lhx6	0.0	0.0	0.1696388	0.0	0.0	0.69232753	0.0	0.0	0.10839611	0.02148811
Lhx9	0.01221083	0.0	0.07659783	0.87413039	2.6e-07	0.0	0.0	0.0	0.0	0.019732
Lyl1	0.0	0.0	0.0	0.0	0.0	0.063662	0.03765155	0.00598273	0.88807629	0.0
Maf	0.0	0.0	0.02531147	3.4e-07	0.0	2.233e-05	0.56615425	0.0	0.40323089	0.0
Mafa	0.0	0.0	0.0219849	0.0	0.0	0.0	0.45382206	0.0	0.52001879	0.0
Mafb	0.0	0.0	0.02359564	1e-08	0.0	0.0	0.52149746	0.0	0.4501828	0.0
Maff	0.0	0.0	0.02258065	4.42e-06	0.0	0.0	0.75352683	0.0	0.20393382	0.01305428
Mafg	0.0	0.0	0.02631586	0.0	0.0	0.0	0.55523339	0.0	0.41347483	0.0
Mafk	0.0	0.0	0.02292857	5e-08	0.0	0.0	0.7205118	0.0	0.23850039	0.01160676
Max	0.16201329	0.0	0.0	0.0073225	0.15866254	0.03981607	0.13750659	0.14031649	0.1457138	0.20706301
Maz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Meox1	0.0	0.0	0.47511658	2.27e-06	0.0	0.2522872	0.26990433	0.0	0.0	0.0
Meox2	0.0	0.0	0.0	0.00164989	0.0	0.0	0.96725711	0.0	0.0	0.0210855
Mga	0.0	0.0	0.1115793	3e-07	0.27200724	0.02868103	0.24239441	0.0	0.04232568	0.30068777
Msc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Msx1	0.00392981	0.23785744	0.07796876	0.09722128	0.0	0.28650487	0.27996821	0.0	0.0	0.01393489
Myb	0.31971642	0.0	0.0	0.0	0.0	0.0004215	0.0	0.0	0.13073509	0.5463343
Mybl1	9e-08	0.18789393	0.02487918	0.23489557	0.19318716	0.0882537	0.15450767	0.00061436	0.0544277	0.05971884
Mybl2	0.0	0.18765955	0.0	0.02073595	0.19178136	0.0	0.16907172	0.0	0.2222104	0.20675678
Myc	0.0	0.0	0.01305811	0.13154348	0.83760707	0.0	0.0	0.0	0.0	0.01112562
Mycn	0.0	0.98823627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nfe2	0.0	0.0	0.0	0.0	0.97431398	0.0	0.0	0.0	0.0	0.00916737
Nfe2l2	0.0	0.0	0.0	0.0	0.98242466	0.0	0.0	0.0	0.0	0.00965173
Nfil3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nhlh1	0.0	0.0	0.0	0.0	0.0	0.3850754	0.5970192	0.0	0.0	0.0115609
Nkx6-1	0.0	0.30738491	0.07118619	0.0263743	0.0	0.02570978	0.26561775	0.0	0.0	0.30117724
Nkx6-2	0.0	0.81073948	0.0	0.0	0.0	0.18234797	0.0	0.0	0.0	0.0
Nobox	0.0	0.56200432	0.0	0.42276013	0.0	0.0	0.0	0.01027651	0.0	0.0
Npas2	0.17441497	0.1572786	0.0	0.16810099	0.0	0.0	0.12939506	0.18491764	0.0	0.1842587
Nr1d1	0.0	0.0	0.0	0.30949464	0.0	0.0	0.11817102	0.2890825	0.0	0.28082431
Nr1d2	0.0	0.0	0.03029214	0.14829438	0.20092175	0.00900256	0.16047532	0.08675653	1.31e-06	0.36179697
Nr1h2	0.0039671	0.0	0.03379676	0.79580096	0.0	0.1452084	0.0	0.00414116	0.0	0.0
Nr1h3	0.0	0.0	0.0	0.97945057	0.0	0.0	0.0	0.01219573	0.0	0.0
Nr1h4	0.0	0.0	0.02871306	0.95595849	0.0	0.0	0.0	0.00876847	0.0	0.0
Nr1i2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nr2c1	0.0	0.0	0.29435305	0.01590809	0.0	0.00666002	0.0	0.0	0.66628983	0.0
Nr2c2	0.0	0.0	0.17183589	0.00824224	0.0	0.01002231	0.0	0.0	0.56444026	0.23769427
Nr2f1	0.0	0.0	0.90845491	0.06190118	0.0	0.01513101	0.0	0.0	0.0	0.0
Nr2f2	0.0	0.0	0.90797521	0.06224826	0.0	0.01525898	0.0	0.0	0.0	0.0
Nr2f6	0.0	3.996e-05	0.4848122	0.02908191	0.0	0.00900094	1.03e-06	0.0	0.46321363	0.0
Nr3c1	0.00772294	0.0	0.20783073	0.14907316	0.14746235	0.14682997	0.12413676	0.06662905	0.14901742	0.0
Nr3c2	0.15087422	0.0	0.25620965	0.1435652	0.08636602	0.09291488	0.06538121	0.15915362	0.04437335	0.0
Nr4a1	0.27560399	0.0	0.0	0.09730365	0.14998516	0.0	0.0	0.21901721	0.11369642	0.14205989
Nr4a2	0.32561514	0.0	0.0	0.1192597	0.0101444	0.0	0.0	0.24701795	0.14690045	0.14839885
Nr4a3	0.2727083	0.0	0.0	0.1284507	0.34543403	0.0	0.0	0.0	0.18758277	0.06223149
Nr5a2	0.29115292	0.0	0.31123092	0.0	0.0	0.32638656	0.03432319	0.0	0.0	0.03451627
Nr6a1	0.00218009	0.48669439	0.0	0.0	0.40688426	0.0	0.0	0.0	0.09884878	0.0
Nrf1	0.0	0.0	0.11486204	0.0	0.34558282	0.0	0.20707089	0.24474647	0.05928525	0.0250011
Nrl	0.0	0.0	0.03555401	0.0	0.0	0.0	0.0	0.0	0.95304614	0.0
Onecut1	0.5080338	0.0	0.0	0.0	0.0	0.0	0.0	0.47901335	0.0	0.00839045
Onecut2	0.0	0.19165181	0.04672158	0.0	0.12837748	0.03976034	0.17531728	0.27558899	0.12593079	0.01465117
Onecut3	0.0	0.17429774	0.0	0.12131284	0.17110968	0.00090755	0.14442019	0.00104026	0.14139284	0.24368045
Otx1	0.99206646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Otx2	0.0	0.0	0.0	0.96024888	0.0	0.0	0.0	0.02846841	0.0	0.0
Patz1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pax3	0.0	0.0	0.06177248	0.15842086	0.0	0.3146404	0.32192438	0.1286506	0.0	0.01134409
Pax5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pax6	0.0	0.45674105	0.0	0.0	0.46812925	0.0	0.0	0.0	0.02050684	0.05012509
Pax8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pbx1	0.0	0.01580025	0.0	0.0	0.0	0.00790724	0.0	0.01885334	0.7071312	0.0
Pbx2	0.0	0.0	0.0	0.0	0.0	0.01800322	0.0	0.04115513	0.91341052	0.0
Pbx3	0.0	0.0	0.0	0.0	0.11805288	0.02666122	0.0	0.05849091	0.45229567	0.0
Pbx4	0.0	0.0	0.03396882	0.0	0.0	0.0	0.0	0.0	0.9522619	0.0
Pgr	0.14990324	0.0	0.08609626	0.0	0.0	0.73556877	0.0	0.0	0.0	0.02458287
Phox2a	0.0	0.0	0.0	0.48491473	0.0	0.35103146	0.0	0.03177992	0.12701403	0.0
Pitx1	0.36780977	0.0	0.0	1.17e-06	0.32858667	0.0	0.30082452	0.0	0.0	0.0
Pitx2	0.0	0.47503409	0.0	0.0	0.0	0.0	0.42002021	0.0	1.29e-06	0.10099066
Plagl1	0.0	0.0	0.1050649	0.10063809	0.0	0.02096087	0.0	0.0	0.0	0.76576377
Pou2f1	0.04792426	0.10875991	0.09819343	0.10043061	0.11308088	0.12309035	0.06913419	0.11285535	0.07688213	0.14836729
Pou2f2	0.0	0.0	0.0	0.0	0.0	0.00169877	0.0	0.0	0.90235919	0.09085616
Pou2f3	0.0	0.24324134	0.04360196	0.30785429	0.0	0.0	0.20440308	0.0	0.0	0.1988585
Pou3f1	0.26834102	0.24679299	0.0	0.0	0.0	0.07673482	0.21677615	0.18928762	0.0	0.0
Pou3f2	0.33910685	0.0	0.0	0.0	0.29522767	0.00013117	0.2711131	0.0	0.0	0.09178679
